Dataset,Topology,Alpha,Agents,Accuracy,Precision,Recall,F1,PacketLossSimulated,PacketLossScenario,SourceFile,Approach
cic,FullyConnected,0.1,5,0.33115138522890564,0.9661971830985916,0.00239477478295171,0.00477770774497069,0,0,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_dos_reconnaissance_loss0.csv,HDFL
cic,FullyConnected,0.1,5,0.3312028720272225,0.9697802197802198,0.00246459328974331,0.00491669133137176,0.1,0.1,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_dos_reconnaissance_loss10.csv,HDFL
cic,FullyConnected,0.1,5,0.33085650629309094,0.9542372881355932,0.0019653909661834,0.00392270255393716,0.3,0.3,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_dos_reconnaissance_loss30.csv,HDFL
cic,FullyConnected,0.1,5,0.41331495410654023,0.9992741890458378,0.12496116345559716,0.22214292584996223,0.5,0.5,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_dos_reconnaissance_loss50.csv,HDFL
cic,FullyConnected,0.1,4,0.7141265732727349,0.9980478814663928,0.5747005658789975,0.729396596412099,0,0,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_exploits_loss0.csv,HDFL
cic,FullyConnected,0.1,4,0.699303055975511,0.9986049124756176,0.5522364613188018,0.711183042237058,0.1,0.1,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_exploits_loss10.csv,HDFL
cic,FullyConnected,0.1,4,0.6706108674589393,0.9981197995364453,0.5096262266238912,0.674739668791222,0.3,0.3,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_exploits_loss30.csv,HDFL
cic,FullyConnected,0.1,4,0.6544369918604053,0.9982625427184744,0.48538524106584935,0.6531764617455214,0.5,0.5,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_exploits_loss50.csv,HDFL
cic,FullyConnected,0.1,5,0.5204121752236165,0.9968918358889348,0.28551231074821004,0.4438926564251192,0,0,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_fuzzers_loss0.csv,HDFL
cic,FullyConnected,0.1,5,0.37948812761236994,0.9909258406264394,0.07510027683037943,0.13961910262941846,0.1,0.1,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_fuzzers_loss10.csv,HDFL
cic,FullyConnected,0.1,5,0.40038006618393895,0.992958435207824,0.10633009491825998,0.19209035985015704,0.3,0.3,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_fuzzers_loss30.csv,HDFL
cic,FullyConnected,0.1,5,0.3604848184154236,0.97908800464711,0.04707163727889352,0.08982476709445122,0.5,0.5,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_fuzzers_loss50.csv,HDFL
cic,FullyConnected,0.3,8,0.39578603958866726,0.9926829268292684,0.09945646292462744,0.18079877648283232,0,0,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_dos_reconnaissance_loss0.csv,HDFL
cic,FullyConnected,0.3,8,0.3948616175279784,0.9694286387663716,0.1005142133025201,0.1821431056623587,0.1,0.1,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_dos_reconnaissance_loss10.csv,HDFL
cic,FullyConnected,0.3,8,0.34038858490875135,0.939874021759878,0.01718931637209075,0.03376117601886896,0.3,0.3,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_dos_reconnaissance_loss30.csv,HDFL
cic,FullyConnected,0.3,8,0.3340182637715484,0.9886069394096324,0.00666417647325776,0.01323910842337406,0.5,0.5,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_dos_reconnaissance_loss50.csv,HDFL
cic,FullyConnected,0.3,8,0.3649337458518022,0.9846548956661316,0.05353683100779524,0.10155215341420776,0,0,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_exploits_loss0.csv,HDFL
cic,FullyConnected,0.3,8,0.5198809250773472,0.9993121829593328,0.28402517655354903,0.4423307980449827,0.1,0.1,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_exploits_loss10.csv,HDFL
cic,FullyConnected,0.3,8,0.4472892200686179,0.9892017043796332,0.17748562611491428,0.3009702415836426,0.3,0.3,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_exploits_loss30.csv,HDFL
cic,FullyConnected,0.3,8,0.3856642031013775,0.98865815348211,0.08459559375403639,0.1558552648504026,0.5,0.5,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_exploits_loss50.csv,HDFL
cic,FullyConnected,0.3,7,0.3757249107172111,0.9858495217434178,0.06980105216489735,0.1303714232621219,0,0,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_fuzzers_loss0.csv,HDFL
cic,FullyConnected,0.3,7,0.3977050929804771,0.991554054054054,0.10245865871666604,0.1857259924633848,0.1,0.1,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_fuzzers_loss10.csv,HDFL
cic,FullyConnected,0.3,7,0.3915407190365416,0.9913120962352416,0.09320770656677964,0.17039417213640468,0.3,0.3,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_fuzzers_loss30.csv,HDFL
cic,FullyConnected,0.3,7,0.4027718619966581,0.9909858977982976,0.11014567631442068,0.1982557116646141,0.5,0.5,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_fuzzers_loss50.csv,HDFL
cic,FullyConnected,0.5,10,0.5211680950352685,0.996783395035504,0.2866747888862901,0.44528551520705345,0,0,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_dos_reconnaissance_loss0.csv,HDFL
cic,FullyConnected,0.5,10,0.4143891559441509,0.992522907093722,0.12743273859601964,0.22586593077503744,0.1,0.1,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_dos_reconnaissance_loss10.csv,HDFL
cic,FullyConnected,0.5,10,0.4157933413527922,0.9864482895258222,0.1303581340305875,0.2302844174745307,0.3,0.3,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_dos_reconnaissance_loss30.csv,HDFL
cic,FullyConnected,0.5,10,0.4548507584941516,0.996143434568176,0.1875534547942623,0.31567227100599016,0.5,0.5,hdfl_xgb_FullyConnected_topology_cic_detection_metrics_0.5_normal_dos_reconnaissance_loss50.csv,HDFL
