Dataset,Topology,Alpha,Agents,bandwidth,latency,packet_loss,PacketLossSimulated,PacketLossScenario,SourceFile,Approach
cic,FullyConnected,0.1,7,56.412821163722676,13.579357046197169,0,0,0,marl_xgb_FullyConnected_topology_cic_traffic_metrics_0.1_normal_dos_reconnaissance_loss0.csv,MARL
cic,FullyConnected,0.1,6,80.47775463094655,41.049896331456026,0.1,0.1,0.1,marl_xgb_FullyConnected_topology_cic_traffic_metrics_0.1_normal_dos_reconnaissance_loss10.csv,MARL
cic,FullyConnected,0.1,7,53.4872323874776,19.235513519504543,0.3,0.3,0.3,marl_xgb_FullyConnected_topology_cic_traffic_metrics_0.1_normal_dos_reconnaissance_loss30.csv,MARL
cic,FullyConnected,0.1,7,81.19004639815998,22.80428522709975,0.5,0.5,0.5,marl_xgb_FullyConnected_topology_cic_traffic_metrics_0.1_normal_dos_reconnaissance_loss50.csv,MARL
cic,FullyConnected,0.1,4,55.47925231440389,11.48171098984931,0,0,0,marl_xgb_FullyConnected_topology_cic_traffic_metrics_0.1_normal_exploits_loss0.csv,MARL
cic,FullyConnected,0.1,4,57.377451372310574,15.66255248111766,0.1,0.1,0.1,marl_xgb_FullyConnected_topology_cic_traffic_metrics_0.1_normal_exploits_loss10.csv,MARL
cic,FullyConnected,0.1,4,95.1446787824449,20.673725382004093,0.3,0.3,0.3,marl_xgb_FullyConnected_topology_cic_traffic_metrics_0.1_normal_exploits_loss30.csv,MARL
cic,FullyConnected,0.1,4,69.87646691076814,40.283922806014395,0.5,0.5,0.5,marl_xgb_FullyConnected_topology_cic_traffic_metrics_0.1_normal_exploits_loss50.csv,MARL
cic,FullyConnected,0.1,3,55.7312825628605,35.4466987351332,0,0,0,marl_xgb_FullyConnected_topology_cic_traffic_metrics_0.1_normal_fuzzers_loss0.csv,MARL
cic,FullyConnected,0.1,3,52.19086112700831,32.48347064529664,0.1,0.1,0.1,marl_xgb_FullyConnected_topology_cic_traffic_metrics_0.1_normal_fuzzers_loss10.csv,MARL
