Dataset,Topology,Alpha,Agents,Accuracy,Precision,Recall,F1,Energy,PacketLossSimulated,PacketLossScenario,SourceFile,Approach
cic,FullyConnected,0.1,7,0.33034397861893683,0.9907120743034056,0.00111709610866552,0.00223167584908292,1.6999999999999995,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_dos_reconnaissance_loss0.csv,MARL
cic,FullyConnected,0.1,6,0.329215949673995,0,0,0,1.5,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_dos_reconnaissance_loss10.csv,MARL
cic,FullyConnected,0.1,7,0.3296021006613713,0,0,0,1.6999999999999995,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_dos_reconnaissance_loss30.csv,MARL
cic,FullyConnected,0.1,7,0.32921360936498056,0,0,0,1.6999999999999995,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_dos_reconnaissance_loss50.csv,MARL
cic,FullyConnected,0.1,4,0.32996718886761806,0.648854961832061,0.00118691461545711,0.00236949484460643,1.1,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_exploits_loss0.csv,MARL
cic,FullyConnected,0.1,4,0.33168965630221814,0.7001795332136446,0.00544584352974442,0.01080762769108197,1.1,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_exploits_loss10.csv,MARL
cic,FullyConnected,0.1,4,0.3274279535869916,0.07188940092165899,2.7229217648722e-4,5.4252943917758e-4,1.1,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_exploits_loss30.csv,MARL
cic,FullyConnected,0.1,4,0.33550435999569383,0.976928895612708,0.00901706015213452,0.01786918758496165,1.1,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_exploits_loss50.csv,MARL
cic,FullyConnected,0.1,3,0.5087410541687925,0.9654040250501612,0.2771445627092373,0.4306575678343983,0.9,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_fuzzers_loss0.csv,MARL
cic,FullyConnected,0.1,3,0.33333723384835734,0.875,0.00650010298229751,0.01290434360760261,0.9,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_fuzzers_loss10.csv,MARL
cic,FullyConnected,0.1,4,0.32907787144214523,0.39292543021032506,0.00143477031456728,0.00285910060068938,1.1,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_fuzzers_loss30.csv,MARL
cic,FullyConnected,0.1,3,0.3295786975712273,0,0,0,0.9,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.1_normal_fuzzers_loss50.csv,MARL
cic,FullyConnected,0.3,9,0.6571236666089391,0.9084355774506484,0.5433101652254964,0.67995692244511,2.1,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_dos_reconnaissance_loss0.csv,MARL
cic,FullyConnected,0.3,8,0.6447855574850103,0.8763918078969727,0.547342183992711,0.6738424577908333,1.9,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_dos_reconnaissance_loss10.csv,MARL
cic,FullyConnected,0.3,8,0.2999901707021395,0.0015756716300323,6.981850679159525e-5,1.3371218452281e-4,1.9,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_dos_reconnaissance_loss30.csv,MARL
cic,FullyConnected,0.3,8,0.5097544079720286,0.9814615596307322,0.27389800214342813,0.42827627804661034,1.9,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_dos_reconnaissance_loss50.csv,MARL
cic,FullyConnected,0.3,7,0.5007465585755944,0.9241870555342868,0.2781010762522822,0.42754712120561594,1.6999999999999995,0,0,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_exploits_loss0.csv,MARL
cic,FullyConnected,0.3,7,0.4974537437923303,0.9164847161572052,0.2754793913222578,0.42362458765141814,1.6999999999999995,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_exploits_loss10.csv,MARL
cic,FullyConnected,0.3,8,0.3278889944628289,0.06220095693779904,1.8152811765814e-4,3.6199977026937e-4,1.9,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_0.3_normal_exploits_loss30.csv,MARL
