Dataset,Model,PacketLoss,Topology,Agents,Alpha,AttackType,Run,Accuracy,Precision,Recall,F1_score
CIC,Logistic Regression,0.0,ring,5,0.3,DoS,1,0.4274,0.3784,0.4464,0.4096
CIC,Logistic Regression,0.0,ring,5,0.3,DoS,2,0.4044,0.3606,0.5003,0.4191
CIC,Logistic Regression,0.0,ring,5,0.3,DoS,3,0.4068,0.3974,0.4169,0.4069
CIC,Logistic Regression,0.0,ring,5,0.3,Recon,1,0.3894,0.3986,0.3491,0.3722
CIC,Logistic Regression,0.0,ring,5,0.3,Recon,2,0.3979,0.4198,0.3572,0.386
CIC,Logistic Regression,0.0,ring,5,0.3,Recon,3,0.3532,0.3832,0.3617,0.3721
CIC,Logistic Regression,0.0,ring,5,0.3,Exploit,1,0.3845,0.3867,0.3897,0.3882
CIC,Logistic Regression,0.0,ring,5,0.3,Exploit,2,0.3648,0.4015,0.3343,0.3648
CIC,Logistic Regression,0.0,ring,5,0.3,Exploit,3,0.3795,0.358,0.3798,0.3686
CIC,Logistic Regression,0.0,ring,5,0.5,DoS,1,0.4344,0.4379,0.4138,0.4255
CIC,Logistic Regression,0.0,ring,5,0.5,DoS,2,0.4422,0.4399,0.465,0.4521
CIC,Logistic Regression,0.0,ring,5,0.5,DoS,3,0.4311,0.4263,0.3908,0.4078
CIC,Logistic Regression,0.0,ring,5,0.5,Recon,1,0.3836,0.3731,0.4271,0.3983
CIC,Logistic Regression,0.0,ring,5,0.5,Recon,2,0.4217,0.4321,0.3896,0.4098
CIC,Logistic Regression,0.0,ring,5,0.5,Recon,3,0.3925,0.397,0.3833,0.39
CIC,Logistic Regression,0.0,ring,5,0.5,Exploit,1,0.3993,0.4194,0.3702,0.3933
CIC,Logistic Regression,0.0,ring,5,0.5,Exploit,2,0.406,0.4022,0.3982,0.4002
CIC,Logistic Regression,0.0,ring,5,0.5,Exploit,3,0.3992,0.3558,0.4554,0.3995
CIC,Logistic Regression,0.0,ring,5,1.0,DoS,1,0.4184,0.4038,0.444,0.4229
CIC,Logistic Regression,0.0,ring,5,1.0,DoS,2,0.4735,0.4264,0.4818,0.4524
CIC,Logistic Regression,0.0,ring,5,1.0,DoS,3,0.4083,0.3947,0.4153,0.4048
CIC,Logistic Regression,0.0,ring,5,1.0,Recon,1,0.4356,0.4401,0.3994,0.4188
CIC,Logistic Regression,0.0,ring,5,1.0,Recon,2,0.4224,0.3909,0.4197,0.4048
CIC,Logistic Regression,0.0,ring,5,1.0,Recon,3,0.3889,0.3689,0.4543,0.4071
CIC,Logistic Regression,0.0,ring,5,1.0,Exploit,1,0.3896,0.4011,0.3724,0.3862
CIC,Logistic Regression,0.0,ring,5,1.0,Exploit,2,0.414,0.3975,0.424,0.4104
